baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC117823554	14.1755929063585	-3.54834266554888	0.66713167577017	-5.31880405986194	1.04451547464035e-07	4.32299205756005e-07
cdk4	528.322802946274	2.62223437098619	0.370912710466891	7.06968053935227	1.5529077674527e-12	1.21358567901555e-11
LOC117824251	6.44278363283866	-4.18614419417325	1.1411677426733	-3.6682987413987	0.000244169786789179	0.000578844070735855
LOC117817575	0.778682408382937	-3.65501169066631	2.21872785353072	-1.64734565568733	0.0994870186517875	0.136917036842014
LOC117810035	0.320625633134671	-1.50057481757409	2.80256524085199	-0.535429040402252	0.592353213380754	NA
LOC117809901	57.3311594384724	-0.536641044315582	0.372493067040491	-1.44067391261606	0.149676828255786	0.196502498239717
LOC117812765	342.830657601188	2.31676234728792	0.319471790897084	7.25185263081413	4.11109063086274e-13	3.45834952468153e-12
znf740a	265.362318079367	-0.772882245370919	0.230066786168967	-3.35938210917283	0.000781169732233095	0.00169040124197864
LOC117810124	0.12399829535307	-0.486693625729973	3.81519078860267	-0.127567309919048	0.898491402621745	NA
smug1	44.8385280547438	-0.149287146811921	0.364480721258048	-0.409588595788108	0.682107764031517	0.726837645644162
calcoco1b	1.35401299927365	-2.30012608683396	1.32414872742289	-1.73706022533477	0.0823765410319493	0.115892814663213
LOC117816854	7.36172597767064	-0.752609741749899	0.735193941332028	-1.02368871591395	0.305982326864524	0.367844139395719
LOC117820075	25.081848202907	-3.19179683176184	0.486729064404082	-6.55764585513227	5.46638361100569e-11	3.55644054691949e-10
uroc1	23.5199146339373	-0.8693416868219	0.553496383852875	-1.57063661513095	0.116267079914396	0.157203709810419
LOC117815332	20.8739622147654	-3.95089411123725	0.670071795145213	-5.89622506104893	3.7191162710195e-09	1.89405636484462e-08
pfkfb4b	235.913404396025	1.70316514282671	0.221916535485101	7.6748005240063	1.65676265117054e-14	1.59781819498082e-13
arpc4	509.522766423988	1.8480394093121	0.27764969171834	6.65601102552936	2.81359156915424e-11	1.89108036113949e-10
LOC117813130	514.281936345797	0.609212440542184	0.219980198256058	2.76939672466818	0.00561602055532192	0.0102755065544268
LOC117817769	0.201636808201116	-1.92565869676356	3.764120572632	-0.511582628559922	0.608943145738666	NA
si:ch211-157b11.8	2.40163702591264	-5.29606751516866	1.29803833241725	-4.08005478952702	4.50250870176053e-05	0.000121717238306747
gata2b	3.22436245316339	-5.1397946356173	1.15650186565523	-4.4442597009606	8.81950199778787e-06	2.6808083492317e-05
eefsec	107.444277417527	0.396161088463513	0.243074826794596	1.62979068498227	0.103145743185648	0.141289758153409
ruvbl1	1490.04156190692	-1.31651616042311	0.340980459806948	-3.86097244741966	0.000112936639723187	0.000284351062925157
mustn1a	41.7359150198156	-4.33729211759891	0.744643434835009	-5.82465635859655	5.72302353302149e-09	2.84333204703281e-08
rft1	68.6653745422066	-0.5399883946982	0.337681383586348	-1.59910620171965	0.109797006921956	0.149378017953057
prkcda	155.760260900589	0.667359897138645	0.410461929238026	1.62587526296901	0.103976193417885	0.142328902293048
LOC117814012	0.152113571411584	-1.43569136222995	3.78161624201461	-0.379650199901061	0.704205091732069	NA
LOC117813977	9.86770230673604	-2.19056358800221	0.690950927419867	-3.17036058723036	0.00152249872545	0.00311483323581092
ccdc174	265.457604538817	0.927408711404472	0.279012446372812	3.32389727935392	0.000887688860921093	0.00189894963472304
tatdn2	964.814563704816	-1.1564717005189	0.409360096596186	-2.8250718869155	0.00472700094603821	0.00880612753625628
vhl	55.2085751046425	-2.46429914465009	0.356493070041316	-6.91261444258787	4.75801865993176e-12	3.49651862759065e-11
LOC117827902	4.82543450636566	-2.91266285946707	1.10045056043649	-2.64679120006244	0.00812595092077164	0.014371241722921
crbn	230.587723649923	0.535617178534116	0.237193379178625	2.25814557045774	0.0239365853500411	0.0381627284237494
LOC117819023	38441.362761388	1.8563972057743	0.310703904470604	5.97481132056367	2.30356634123673e-09	1.21022503050212e-08
pa2g4a	907.784991567546	-0.482267120889338	0.230568770219985	-2.09164112047441	0.0364706311984671	0.0557925556937682
erbb3a	8.75356112015379	-6.39894957565112	1.17844933276368	-5.42997428717994	5.63621719404265e-08	2.42340009683444e-07
LOC117820534	46.930432906667	-7.28619389947388	0.875817645879521	-8.31930474768737	8.84807834935503e-17	1.09156910534103e-15
fkbp11	40.859321936142	-3.99635527460712	0.494041094650194	-8.08911509160335	6.00997621300638e-16	6.83948351868493e-15
LOC117820543	8659.02525357069	1.28133074488073	0.247387416262772	5.17944996652423	2.22541088910416e-07	8.73014737073816e-07
LOC117820491	291.481938182098	0.752365390290098	0.480570690552958	1.56556653387331	0.117450129832883	0.158590363314616
rhebl1	703.229494632464	-1.62567820392661	0.346029912250583	-4.69808576187295	2.62611164971181e-06	8.72751826909761e-06
LOC117812401	123.849460940457	-2.20562211108082	0.336616600195272	-6.55232721678413	5.66472450028974e-11	3.67442006945124e-10
LOC117812393	49.378119052095	-1.35783715841804	0.425907581196628	-3.18810281470703	0.00143209605531831	0.0029453429814934
