SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
atad3	1030	949	729	667	918	640	448	251	198	548	394	441	568	256	245
mrpl20	378	771	350	241	377	769	196	118	170	163	151	141	348	543	282
sdhb	357	327	404	367	372	656	284	246	240	306	771	678	941	778	546
mfap2	15	43	5	11	10	102	13	10	8	8	29	35	84	136	89
LOC117814589	70	71	55	90	102	57	42	19	28	68	241	154	264	398	112
necap2	845	1113	495	780	662	881	359	200	185	330	185	201	564	631	527
LOC117815003	455	701	269	277	312	370	99	38	43	84	733	501	436	467	312
fbxo42	395	283	337	257	349	244	156	57	77	122	1069	994	826	666	342
slc25a34	609	610	189	225	216	244	69	27	11	50	21	31	131	132	65
LOC117814818	1	1	1	0	1	1	0	1	0	2	1	0	2	8	8
LOC117814780	17	37	5	3	4	35	13	22	35	15	3	7	27	28	32
si:ch1073-335m2.2	713	887	365	299	482	642	94	33	65	97	846	762	952	496	334
prkar2ab	0	2	0	1	0	6	0	0	0	0	0	0	6	4	4
slc25a20	525	690	460	472	344	490	470	334	270	398	159	219	393	372	238
LOC117814616	166	151	61	100	81	81	53	24	27	19	184	100	209	272	166
ndufaf3	423	783	371	393	358	575	269	146	141	239	69	74	138	181	109
zgc:112334	2	0	0	5	3	4	0	0	0	1	0	0	1	3	1
LOC117814766	236	177	208	224	206	235	205	122	96	188	105	134	167	317	184
LOC117814936	393	593	274	297	239	864	167	159	150	157	1608	1392	1457	1115	996
LOC117814891	49	61	22	23	28	30	29	15	16	28	11	18	23	60	15
LOC117815031	43	143	75	75	121	240	49	29	37	49	115	156	177	238	100
rpusd4	217	288	207	148	241	183	122	106	97	248	85	99	124	310	135
LOC117814607	2316	1768	1560	1382	1992	995	754	263	184	944	523	498	617	687	341
tmcc1b	233	274	136	101	132	171	86	43	39	94	288	234	354	284	150
LOC117815083	22	36	54	53	52	76	53	39	48	39	504	153	159	71	65
LOC117815094	17312	27251	27425	30554	26813	25584	31297	27140	25046	29208	45	12	17	20	24
LOC117815048	18	26	33	39	62	145	38	23	30	39	575	982	479	244	195
LOC117815440	0	3	0	0	0	12	0	1	2	1	16	12	22	49	15
LOC117815098	5	0	1	0	1	7	1	0	1	0	6	17	12	11	22
LOC117815106	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0
LOC117827294	61	60	1	0	35	59	87	1	3	39	11	12	18	31	10
